ID,NAME,PHONENUMBER,ADDRESS,CITY,STATE,PHONEAREACODE,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
1445980000005,DisiacLounge,(212) 586-9880,"402 W 54th St, New York, NY 10019",New York,NY,212586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1445980000006,ĢTsreviewofBellyGoodCafeCrepe,(415) 346-8383,"1737 Post St, San Francisco, CA 94115",San Francisco,CA,415346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000007,ireTrea,(415) 967-2726,"San Francisco, CA 94109",San Francisco,CA,415967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000008,10eRestaurant,(213) 488-1096,"811 W 7th St, Los Angeles, CA 90017",Los Angeles,CA,213488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000009,10thWood,(510) 645-1955,"945 Wood St, Oakland, CA 94607",Oakland,CA,510645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000010,11thStreetCafe,(212) 924-3804,"327 W 11th St, New York, NY 10014",New York,NY,212924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1445980000011,1300onFillmore,(415) 771-7100,"1300 Fillmore St, San Francisco, CA 94115",San Francisco,CA,415771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000012,1428HAIGHT,(415) 864-8484,"1428 Haight St, San Francisco, CA 94117",San Francisco,CA,415864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000013,15Romolo,(415) 398-1359,"15 Romolo Pl, San Francisco, CA 94133",San Francisco,CA,415398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000014,1601BarKitchen,(415) 552-1601,"1601 Howard St, San Francisco, CA 94103",San Francisco,CA,415552,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000015,1810ArgentineanRestaurant,(213) 623-1810,"105 W 9th St, Los Angeles, CA 90015",Los Angeles,CA,213623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000016,1847AttheStammHouse,(608) 203-9430,"6625 Century Ave, Middleton, WI 53562",Middleton,WI,608203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1445980000017,1855SaloonandGrill,(608) 839-3700,"218 S. Main Street, Cottage Grove, WI 53527",Cottage Grove,WI,608839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1445980000018,2WhiteCrewCleaning,(773) 634-0830,"3038 N Honore St, Chicago, IL 60657",Chicago,IL,773634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1445980000019,20Spot,(415) 624-3140,"3565 20th St, San Francisco, CA 94110",San Francisco,CA,415624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000020,21HomesKitchen,(212) 475-5049,"22 E 21st St, New York, NY 10010",New York,NY,212475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1445980000021,21ShanghaiHouse,(212) 226-8998,"21 Division St, New York, NY 10002",New York,NY,212226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1445980000022,23rdStreetCafe,(213) 749-1593,"936 W 23rd St, Los Angeles, CA 90007",Los Angeles,CA,213749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000023,24KarrotsJuiceBar,(773) 770-3865,"2004 W Armitage Ave, Chicago, IL 60647",Chicago,IL,773770,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1445980000024,25Degrees,(312) 943-9700,"736 N Clark St, Chicago, IL 60654",Chicago,IL,312943,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1445980000025,25Degrees,(323) 785-7244,"7000 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000026,25Degrees,(323) 785-7244,"7000 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445980000027,2ndWindExercise,(608) 286-1111,"434 Gammon Place, Madison, WI 53719",Madison,WI,608286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1445980000028,33Taps,(323) 962-1400,"6263 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,CA,323962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
